Column1,Content ID,Type,Datetime,Category,Score,Sentiments,,,,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07-11-2020 09:43,Studying,0,negative,,,,
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17-06-2021 12:22,Studying,10,negative,,,TOP 5 CATEGORIES,
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18-04-2021 05:13,Studying,15,negative,,,Row Labels,Sum of Score
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06-01-2021 19:13,Studying,0,negative,,,Animals,74965
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23-08-2020 12:25,Studying,30,positive,,,food,66676
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07-12-2020 06:27,Studying,35,neutral,,,healthy eating,69339
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11-04-2021 17:35,Studying,70,positive,,,science,71168
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-01-2021 08:32,Studying,5,negative,,,technology,68738
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01-04-2021 22:54,Studying,35,neutral,,,,
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,04-08-2020 05:05,Studying,65,positive,,,,
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07-11-2020 08:36,Studying,20,neutral,,,,
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02-11-2020 06:28,Studying,15,negative,,,,
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01-11-2020 01:16,Studying,30,positive,,,,
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07-10-2020 18:39,Studying,5,negative,,,,
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03-09-2020 18:51,Studying,15,negative,,,,
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-02-2021 05:09,Studying,75,positive,,,,
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23-09-2020 06:24,Studying,35,neutral,,,,
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-02-2021 11:37,Studying,20,neutral,,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22-05-2021 19:44,Studying,30,positive,,,,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31-01-2021 16:03,Studying,45,positive,,,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20-11-2020 17:26,Studying,35,neutral,,,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11-04-2021 20:47,Studying,12,negative,,,,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13-06-2021 16:46,Studying,50,positive,,,,
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11-04-2021 14:29,Studying,60,positive,,,,
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,02-03-2021 19:21,Studying,12,negative,,,,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-06-2020 18:44,Studying,5,negative,,,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,09-05-2021 21:05,Studying,5,negative,,,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,04-08-2020 23:58,Studying,70,positive,,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28-08-2020 03:57,Studying,75,positive,,,,
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,25-08-2020 08:21,Studying,45,positive,,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,20-04-2021 23:48,Studying,15,negative,,,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,07-03-2021 12:40,Studying,30,positive,,,,
